filter_id,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,Cl,Na,BC,PM25,arm,fueltype,group
3M52350,0.0155,0.0489,0.0363,0.0256,0.0252,0.0415,0.0113,0.0078,0.0148,0.0155,0.0209,0.0099,1.273,4.6812,Control,Biomass,Control
3M52360,0.0069,0.0732,0.0661,0.0177,0.0216,0.0106,0.0165,0.0088,0.0368,0.0037,0.0149,0.0091,1.5978,4.7325,Intervention,LPG,Intervention
3M52377,0.0041,0.0172,0.0104,0.0072,0.013,0.0057,0.0132,0.0086,0.0089,0.0181,0.0124,0.061,0.5131,4.7335,Intervention,LPG,Intervention
3M52378,0.0056,0.0484,0.0259,0.0171,0.0178,0.0154,0.0167,0.0117,0.0207,0.0037,0.0154,0.061,2.5609,4.7658,Control,Biomass,Control
3M52388,0.005,0.0337,0.0039,0.018,0.0162,0.0081,0.0132,0.0046,0.011,0.0175,0.0145,0.061,5.0922,5.0036,Control,Biomass,Control
3M52391,0.0095,0.0605,0.0386,0.0191,0.0252,0.0188,0.0165,0.0092,0.018,0.0169,0.0326,0.0097,1.8921,4.6866,Intervention,LPG,Intervention
3M52404,0.0128,0.0645,0.0654,0.0384,0.2866,0.0341,0.0152,0.0092,0.0278,0.018,0.5864,0.061,2.2612,16.346,Intervention,Biomass,Baseline
3M52413,0.0139,0.0577,0.0934,0.0491,0.135,0.0621,0.0128,0.0096,0.0339,0.0116,0.2382,0.061,2.7064,12.4397,Intervention,Biomass,Baseline
3M52414,0.01,0.0646,0.0582,0.0506,0.0261,0.0312,0.0107,0.0063,0.0357,0.0122,0.0149,0.011,1.1295,4.6848,Intervention,LPG,Intervention
3M52415,0.005,0.0284,0.0037,0.0245,0.0153,0.0058,0.0132,0.0046,0.0109,0.0079,0.0108,0.061,0.8022,4.6895,Intervention,LPG,Intervention
3M52417,0.0062,0.0176,0.0544,0.025,0.0524,0.0187,0.0073,0.0046,0.0145,0.0037,0.0183,0.0102,4.7593,4.7729,Intervention,LPG,Intervention
3M52421,0.0068,0.0311,0.0197,0.0383,0.0542,0.0162,0.0069,0.0046,0.0192,0.008,0.0362,0.061,1.9689,5.4922,Control,Biomass,Control
3M52422,0.0054,0.0166,0.0406,0.0654,0.0561,0.0137,0.01,0.0072,0.0223,0.0081,0.0229,0.0149,1.5122,5.2526,Control,Biomass,Control
3M52427,0.0231,0.0755,0.1503,0.0549,0.2716,0.108,0.0191,0.0103,0.0518,0.0108,0.3848,0.02,2.0897,8.5448,Control,Biomass,Baseline
3M52433,0.0096,0.0087,0.0091,0.0623,0.067,0.0391,0.0062,0.0034,0.0169,0.0091,0.0439,0.011,2.4149,5.5384,Control,Biomass,Control
3M52434,0.0088,0.0233,0.0317,0.0557,0.0653,0.0512,0.0123,0.005,0.0349,0.008,0.1043,0.0103,1.7493,7.3905,Control,Biomass,Control
3M52452,0.0082,0.0318,0.0252,0.0213,0.0518,0.0133,0.0066,0.0052,0.0133,0.008,0.0408,0.0145,2.0908,6.6496,Control,Biomass,Control
3M52457,0.0073,0.0401,0.0096,0.0681,0.0485,0.0123,0.0132,0.0098,0.0157,0.0201,0.0231,0.061,2.5503,5.8674,Intervention,LPG,Intervention
3M52466,0.008,0.0297,0.0104,0.0093,0.0832,0.0097,0.0132,0.0046,0.0117,0.0183,0.0578,0.061,1.4122,5.3922,Control,Biomass,Control
3M52467,0.0127,0.0443,0.035,0.0309,0.1781,0.0207,0.0166,0.01,0.0218,0.0037,0.2778,0.0136,1.4893,10.8968,Intervention,Biomass,Baseline
3M52468,0.0133,0.0502,0.0434,0.0328,0.1954,0.0355,0.014,0.0088,0.0217,0.0187,0.3325,0.0129,2.2087,16.3088,Control,Biomass,Baseline
3M52475,0.0143,0.0527,0.058,0.0397,0.1676,0.0434,0.0158,0.0108,0.0291,0.0203,0.2431,0.061,2.8129,10.0974,Control,Biomass,Control
3M52477,0.0179,0.1313,0.1939,0.0276,0.0742,0.0791,0.0237,0.0046,0.0711,0.0219,0.106,0.0218,1.5935,6.5673,Intervention,LPG,Intervention
3M52482,0.007,0.0451,0.01,0.0173,0.0215,0.0069,0.012,0.0046,0.015,0.0037,0.01,0.01,1.1722,4.6824,Intervention,LPG,Intervention
3M52488,0.0083,0.0387,0.0104,0.0187,0.0158,0.0065,0.0132,0.0046,0.0097,0.0037,0.0091,0.0136,0.5638,4.6803,Intervention,LPG,Intervention
3M52490,0.0077,0.0359,0.0052,0.0156,0.0105,0.0061,0.0132,0.0046,0.0144,0.0205,0.0095,0.0117,2.7606,4.6886,Intervention,LPG,Intervention
3M52495,0.0095,0.0436,0.0326,0.012,0.0434,0.0185,0.0137,0.0098,0.0196,0.0037,0.0277,0.061,2.4291,4.8436,Control,Biomass,Baseline
3M52502,0.0065,0.0104,0.0357,0.0284,0.1598,0.0169,0.0132,0.0046,0.0146,0.0095,0.1927,0.0114,1.7804,5.1976,Intervention,LPG,Intervention
3M52509,0.011,0.0576,0.0524,0.0135,0.0391,0.024,0.0132,0.0046,0.0202,0.0183,0.0785,0.0134,2.0551,4.9045,Intervention,LPG,Intervention
