filter_id,arm,fueltype,group,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,Cl,Na,BC,PM25
3M52138,Control,Biomass,Control,0.0665,0.3952,0.0426,0.8744,1.2494,0.0891,0.0111,0.0068,0.0458,0.032,1.4811,0.0517,9.848306373,182.309266
3M52143,Intervention,LPG,Intervention,0.1932,0.8255,1.4292,1.3768,0.8003,0.4073,0.0111,0.0038,0.2581,0.0447,0.0931,0.2325,7.943608184,60.13376293
3M52146,Control,Biomass,Baseline,0.1112,0.9772,0.9844,0.8089,0.4188,0.2277,0.0329,0.0281,0.435,0.0137,0.0853,0.166,5.823548086,42.08719899
3M52166,Control,Biomass,Control,0.0493,0.187,0.0088,0.5966,0.8098,0.063,0.0111,0.0188,0.0698,0.0031,0.2758,0.1171,9.789824249,102.6185614
3M52171,Intervention,LPG,Intervention,0.1114,0.7179,0.8264,0.8916,0.5751,0.2807,0.0111,0.008,0.3309,0.021,0.088,0.2089,5.317487124,42.01842906
3M52173,Intervention,Biomass,Baseline,0.1355,0.4197,0.4821,1.0244,1.039,0.257,0.0415,0.0148,0.1554,0.0064,0.2776,0.2515,8.650642283,106.4838554
3M52184,Control,Biomass,Control,0.0488,0.4231,0.3439,0.2957,0.1888,0.1037,0.0111,0.0188,0.1834,0.0031,0.0163,0.1014,22.48221667,107.6774733
3M52185,Intervention,Biomass,Baseline,0.0831,0.4644,0.4533,0.5451,0.629,0.1782,0.0415,0.0173,0.2341,0.0031,0.2593,0.1529,10.34327529,61.93136399
3M52189,Intervention,LPG,Intervention,0.0754,0.7773,0.6969,0.9917,0.4168,0.0908,0.0506,0.0214,0.2949,0.0265,0.0568,0.2087,3.124441894,23.4372289
3M52193,Intervention,LPG,Intervention,0.0572,0.3528,0.1152,0.3207,0.2102,0.082,0.023,0.0121,0.1635,0.0031,0.027,0.0997,2.588810294,10.63399309
3M52204,Intervention,LPG,Intervention,0.061,0.3855,0.2584,0.5831,0.4852,0.1328,0.0111,0.0161,0.1655,0.0031,0.1476,0.1441,6.905332474,41.63106664
3M52209,Control,Biomass,Control,0.1242,1.6391,2.6119,0.9398,2.7423,0.2893,0.0804,0.0349,0.7637,0.0247,4.931,0.1193,17.33768644,215.4308024
3M52210,Intervention,Biomass,Baseline,0.0562,0.2604,0.0088,1.0163,0.2876,0.0446,0.0111,0.0133,0.0917,0.0031,0.0338,0.1057,2.692901723,26.50825973
3M52212,Intervention,LPG,Intervention,0.101,0.4642,0.8123,1.0048,0.5745,0.1697,0.0111,0.0068,0.1456,0.021,0.0175,0.2423,2.554747001,21.71898529
3M52216,Intervention,LPG,Intervention,0.0937,0.9051,1.4426,0.8419,0.3331,0.1965,0.0553,0.0402,0.5282,0.0031,0.0623,0.1424,4.096974058,29.05549871
3M52224,Control,Biomass,Baseline,0.097,0.4792,0.6867,0.9867,1.5315,0.2055,0.0668,0.0161,0.235,0.0082,0.4949,0.1653,9.377577617,101.595785
3M52229,Control,Biomass,Control,0.1351,0.4179,0.3979,0.8246,0.9535,0.242,0.0184,0.0108,0.1554,0.0155,0.2228,0.1923,10.31079276,63.70902351
3M52236,Intervention,LPG,Intervention,0.2067,1.3644,1.8453,0.7869,0.6335,0.5112,0.0676,0.0482,0.8934,0.0031,0.1638,0.2864,4.630454601,38.01750587
3M52242,Intervention,LPG,Intervention,0.0736,0.198,0.0555,0.3536,0.7097,0.0771,0.0111,0.0038,0.0738,0.0031,0.1286,0.1938,6.417254572,29.15300039
3M52264,Intervention,LPG,Intervention,0.0889,0.6397,0.6268,0.2646,0.2637,0.2701,0.03,0.0038,0.3181,0.0031,0.0785,0.1697,2.546370781,19.36906229
3M52265,Intervention,LPG,Intervention,0.1282,0.5934,0.98,0.4358,0.6138,0.2299,0.0161,0.0093,0.2111,0.0031,0.0935,0.2524,28.3633403,75.69388932
3M52272,Intervention,LPG,Intervention,0.0886,0.3768,0.3024,0.4071,1.2642,0.1141,0.03,0.0188,0.1205,0.01,0.3926,0.1386,9.15008086,37.48308532
3M52274,Intervention,LPG,Intervention,0.0303,0.0077,0.0088,0.3722,1.0424,0.078,0.0111,0.0038,0.03,0.0119,0.1936,0.0964,9.15008086,37.48308532
3M52282,Intervention,LPG,Intervention,0.0603,0.4197,0.2624,0.4305,0.2546,0.0891,0.0345,0.0038,0.1286,0.0228,0.0365,0.1036,2.223026561,17.28874451
3M52283,Intervention,LPG,Intervention,0.0716,0.3333,0.1499,0.5267,0.5479,0.1297,0.0111,0.0038,0.1684,0.0031,0.0623,0.1488,4.348520145,34.29313467
3M52287,Control,Biomass,Control,0.1505,0.1538,0.0088,0.5161,2.9542,0.2102,0.0111,0.0281,0.0469,0.0338,1.5889,0.0893,8.077568748,137.377765
3M52299,Intervention,Biomass,Baseline,0.0745,0.4611,0.2374,0.5594,1.5553,0.0981,0.0553,0.0133,0.1624,0.032,2.4746,0.1224,14.44604691,149.0325424
3M52307,Control,Biomass,Control,0.084,0.6986,0.2971,0.0789,0.2628,0.1896,0.0345,0.0201,0.1693,0.0267,0.2058,0.0517,2.383095906,25.35863011
3M52329,Intervention,LPG,Intervention,0.2034,1.8681,2.3658,0.1879,0.5853,0.4703,0.1498,0.0791,1.0925,0.0194,0.7396,0.238,4.897839422,36.34092178
3M52332,Intervention,LPG,Intervention,0.0681,0.6702,0.3576,0.1532,0.6366,0.0541,0.0111,0.0214,0.2292,0.0031,0.3196,0.0986,2.597138003,10.66820062
3M52346,Intervention,LPG,Intervention,0.0698,0.7177,0.5296,0.1527,0.2749,0.1505,0.0161,0.0148,0.2062,0.0267,0.05,0.0864,2.554620459,14.85962229
3M52350,Control,Biomass,Control,0.1824,0.6008,0.4458,0.3156,0.2907,0.4955,0.0206,0.0173,0.1036,0.0413,0.1706,0.0864,6.493992292,10.58108766
3M52360,Intervention,LPG,Intervention,0.0668,0.9005,0.8145,0.2177,0.2462,0.1034,0.0438,0.008,0.3802,0.0031,0.0908,0.0758,3.384875012,17.46870749
3M52377,Intervention,LPG,Intervention,0.0303,0.2049,0.0088,0.0877,0.1399,0.0351,0.0111,0.0121,0.0378,0.0155,0.0678,0.0517,1.828907252,17.58337409
3M52378,Control,Biomass,Control,0.0486,0.5937,0.3165,0.2104,0.1967,0.1498,0.0345,0.0068,0.1574,0.0031,0.0813,0.0517,3.793951671,20.78095602
3M52388,Control,Biomass,Control,0.0442,0.4126,0.0314,0.2223,0.1793,0.0694,0.0111,0.0038,0.0438,0.0394,0.0813,0.0517,6.910706251,36.89452931
3M52391,Intervention,LPG,Intervention,0.1056,0.744,0.4739,0.236,0.2913,0.21,0.046,0.0173,0.1415,0.023,0.3178,0.0855,2.472099496,11.50182179
3M52404,Intervention,Biomass,Baseline,0.1435,0.7937,0.8052,0.4741,3.5222,0.3925,0.0438,0.008,0.269,0.0194,7.1627,0.0517,9.460306802,313.4068485
3M52413,Intervention,Biomass,Baseline,0.1583,0.709,1.1517,0.6063,1.6484,0.7475,0.0599,0.0469,0.3547,0.0155,2.8581,0.0517,14.8179494,230.7481472
3M52414,Intervention,LPG,Intervention,0.1096,0.7948,0.7172,0.6242,0.3019,0.3665,0.046,0.0121,0.3784,0.0267,0.0678,0.0993,2.727168781,11.20232489
3M52415,Intervention,LPG,Intervention,0.0426,0.3446,0.0223,0.3026,0.1691,0.0296,0.0111,0.0038,0.0807,0.0064,0.0285,0.0517,1.909013314,11.96321677
3M52417,Intervention,LPG,Intervention,0.057,0.2069,0.6686,0.3083,0.6299,0.208,0.0206,0.0038,0.1255,0.0031,0.134,0.0928,3.898110877,21.42146494
3M52421,Control,Biomass,Control,0.0665,0.3786,0.238,0.473,0.6516,0.1744,0.0254,0.008,0.1733,0.0046,0.3561,0.0517,11.0691915,58.41401189
3M52422,Control,Biomass,Control,0.0351,0.1934,0.4977,0.8078,0.6754,0.1401,0.0506,0.0309,0.2102,0.0137,0.1815,0.1551,7.335377928,48.81323784
3M52427,Control,Biomass,Baseline,0.2741,0.929,1.8544,0.6772,3.3377,1.3151,0.1198,0.0575,0.5793,0.0358,4.6716,0.2117,10.59301426,143.3596389
3M52433,Control,Biomass,Control,0.1048,0.0866,0.1001,0.7687,0.8087,0.4635,0.0184,0.008,0.1424,0.0064,0.4401,0.1003,10.00328632,60.13376293
3M52434,Control,Biomass,Control,0.0913,0.2798,0.3877,0.687,0.7871,0.614,0.0553,0.0121,0.3674,0.0046,1.2072,0.0842,10.68314045,114.8676885
3M52452,Control,Biomass,Control,0.0871,0.3875,0.3074,0.2621,0.6218,0.135,0.0184,0.0093,0.1107,0.0046,0.4255,0.1532,10.48982616,95.04543247
3M52457,Intervention,LPG,Intervention,0.0741,0.4915,0.1116,0.8405,0.5804,0.1193,0.0111,0.0161,0.1127,0.0064,0.1773,0.0517,7.12054123,71.53560058
3M52466,Control,Biomass,Control,0.0847,0.3618,0.0088,0.1147,1.0097,0.0763,0.0111,0.0038,0.0657,0.0192,0.6282,0.0517,5.927848569,54.5632977
3M52467,Intervention,Biomass,Baseline,0.145,0.5431,0.4297,0.3815,2.1835,0.2223,0.0276,0.0228,0.1892,0.0031,3.3494,0.1335,10.15027067,197.086444
3M52468,Control,Biomass,Baseline,0.1503,0.6164,0.5329,0.4047,2.3953,0.4124,0.0254,0.0108,0.1912,0.0502,4.0215,0.1172,20.15251497,312.6307544
3M52475,Control,Biomass,Control,0.1644,0.6476,0.7143,0.4904,2.052,0.5132,0.0184,0.0228,0.282,0.0356,2.9202,0.0517,14.26314355,179.2473682
3M52477,Intervention,LPG,Intervention,0.2078,1.6192,2.3937,0.3401,0.8971,0.9595,0.1114,0.0038,0.8003,0.0082,1.2291,0.2407,11.67498585,92.72837394
3M52482,Intervention,LPG,Intervention,0.0723,0.5539,0.1169,0.2133,0.2471,0.0482,0.0184,0.0038,0.1046,0.0031,0.0203,0.0955,2.63019326,10.803980900000001
3M52488,Intervention,LPG,Intervention,0.0902,0.4746,0.0088,0.2305,0.1744,0.0402,0.0111,0.0038,0.023,0.0031,0.0312,0.1401,2.540671057,10.43625272
3M52490,Intervention,LPG,Intervention,0.0815,0.4392,0.0533,0.1919,0.107,0.0369,0.0111,0.0038,0.0966,0.0484,0.0312,0.1169,1.984507941,11.82071201
3M52495,Control,Biomass,Baseline,0.1056,0.5355,0.3994,0.1476,0.5172,0.2051,0.0415,0.0442,0.1614,0.0031,0.2575,0.0517,5.895776828,27.03432853
3M52502,Intervention,LPG,Intervention,0.061,0.112,0.4372,0.3505,1.9552,0.1766,0.0111,0.0038,0.1246,0.0119,2.3011,0.1103,8.055836713,46.39905783
3M52509,Intervention,LPG,Intervention,0.1236,0.7086,0.645,0.1662,0.4633,0.2747,0.0111,0.0038,0.1724,0.0173,0.8912,0.1377,5.931652544,31.11974012
3M52510,Intervention,LPG,Intervention,0.1538,1.4977,1.6468,0.3064,0.2856,0.2422,0.076,0.0173,0.5994,0.0031,0.3105,0.2917,5.603748536,25.52615299
3M52518,Intervention,LPG,Intervention,0.1463,0.8865,0.6819,0.1859,0.2721,0.2606,0.0575,0.0133,0.2719,0.0031,0.2276,0.1198,3.696382127,23.20559363
3M52527,Intervention,LPG,Intervention,0.0895,0.5831,0.3892,0.2623,0.3295,0.1266,0.0111,0.0038,0.1565,0.0031,0.042,0.0988,4.111554342,17.92549873
3M52533,Control,Biomass,Baseline,0.12,0.4739,0.2473,0.3006,0.3601,0.2188,0.0111,0.0068,0.1026,0.01,0.1178,0.0979,5.097563023,25.56883887
3M52540,Intervention,LPG,Intervention,0.0798,0.5123,0.2075,0.2876,0.3457,0.0893,0.0484,0.0038,0.1266,0.0031,0.1815,0.0833,5.957249919,35.39813482
3M52542,Control,Biomass,Control,0.1019,0.7243,0.3976,0.2785,0.288,0.1739,0.0369,0.0038,0.2422,0.0082,0.0935,0.0924,2.614959893,16.38064884
3M52543,Intervention,LPG,Intervention,0.1793,1.0055,0.847,0.2878,0.6038,0.5778,0.0853,0.0038,0.3455,0.0031,0.515,0.1463,5.928153281,22.97545551
3M52547,Intervention,LPG,Intervention,0.1213,0.69,0.6145,0.2654,0.4367,0.2031,0.0111,0.0201,0.1635,0.0031,0.3726,0.1961,7.717689769,34.92500147
3M52561,Intervention,LPG,Intervention,0.1182,0.5831,0.2197,0.2703,0.3068,0.0581,0.0369,0.0038,0.1315,0.0031,0.1083,0.2288,2.60618486,16.32568022
3M52590,Control,Biomass,Control,0.1768,0.6209,0.5042,0.3154,0.7174,0.1777,0.0111,0.0038,0.1764,0.023,0.5917,0.271,12.42106387,38.01750587
3M52596,Control,Biomass,Control,0.2287,0.7552,1.2052,0.1496,0.437,1.18,0.053,0.0148,0.2789,0.0064,0.4748,0.1671,14.65255992,33.17897605
3M52601,Intervention,LPG,Intervention,0.0793,0.4891,0.1534,0.0701,0.164,0.3863,0.0184,0.0038,0.1087,0.0031,0.1368,0.0951,2.601819391,10.68743024
3M52616,Intervention,LPG,Intervention,0.1786,1.5191,1.7383,0.1101,0.3921,0.4109,0.0785,0.0816,0.8806,0.0031,0.6027,0.2016,4.288847915,23.23799815
3M52623,Control,Biomass,Control,0.1125,0.6651,0.7634,0.2507,1.2921,0.4073,0.0506,0.0188,0.2122,0.0031,1.8537,0.0884,15.06607478,111.8792608
3M52627,Intervention,LPG,Intervention,0.229,1.3235,1.8303,0.156,0.2597,0.2036,0.1059,0.0309,0.4843,0.0338,0.336,0.233,2.554641751,17.75801526
3M52628,Control,Biomass,Control,0.2413,1.0961,1.457,0.2422,1.4932,0.6361,0.0575,0.0214,0.5391,0.0137,2.4125,0.1509,14.7257118,187.7453225
3M52630,Control,Biomass,Control,0.1563,0.8894,1.1321,0.3355,1.926,0.1751,0.0484,0.0068,0.3601,0.034,3.2709,0.1428,17.76949698,192.3147488
3M52631,Intervention,LPG,Intervention,0.2434,1.4654,1.8774,0.2,0.3881,0.2394,0.1151,0.0038,0.6176,0.0031,0.4127,0.256,4.566823226,10.54610885
3M52632,Control,Biomass,Control,0.2632,1.3215,1.8849,0.3572,1.5187,0.4071,0.0548,0.0038,0.5428,0.0031,2.0326,0.2374,17.38503788,114.846993
3M52633,Intervention,Biomass,Baseline,0.4367,1.8403,2.8205,0.3185,1.4767,0.9902,0.1132,0.1112,0.8642,0.0031,2.5531,0.2708,17.40775713,106.9242353
3M52634,Intervention,LPG,Intervention,0.2093,1.1436,1.3851,0.1687,0.3512,0.1768,0.0323,0.0038,0.3821,0.0358,0.2612,0.194,2.597468522,10.66955829
3M52636,Control,Biomass,Control,0.3043,2.0379,2.7686,0.263,0.8823,0.7199,0.0858,0.0038,0.9701,0.0137,1.2547,0.271,12.6702961,87.17043587
3M52640,Control,Biomass,Control,0.2416,1.2201,1.7227,0.181,0.374,0.2434,0.0858,0.0294,0.4807,0.0119,0.4675,0.2568,17.42087649,74.48225821
3M52641,Intervention,LPG,Intervention,0.2188,1.1071,1.3273,0.1852,0.2266,0.2265,0.0161,0.0068,0.3766,0.0031,0.1908,0.2566,1.896078048,11.93164899
3M52642,Control,Biomass,Baseline,0.2307,1.2731,1.8484,0.2433,1.1615,0.2471,0.0853,0.0294,0.4752,0.0265,1.5469,0.2283,17.68764316,80.19317645
3M52643,Intervention,Biomass,Baseline,0.3494,1.9275,3.3669,0.3125,1.3483,0.7143,0.1424,0.0469,0.8094,0.0466,1.8318,0.3264,13.72020248,106.5678212
3M52703,Control,Biomass,Control,0.0977,0.3488,0.0416,0.3651,3.5514,0.2769,0.0111,0.0038,0.0279,0.0031,7.7489,0.0517,23.24389223,292.6804784
3M52705,Intervention,LPG,Intervention,0.1821,1.1106,1.4386,0.2515,0.3267,0.2254,0.0875,0.0038,0.5811,0.0155,0.4602,0.194,2.60618486,37.3158405
3M52707,Intervention,LPG,Intervention,0.0789,0.5125,0.092,0.1182,0.1572,0.0247,0.0111,0.0201,0.0867,0.0119,0.1056,0.109,2.588810294,10.63399309
3M52708,Intervention,LPG,Intervention,0.1797,0.8138,1.2729,0.1569,0.6041,0.3664,0.0276,0.0038,0.2131,0.0064,0.4949,0.1253,5.740168477,37.50462215
3M52710,Control,Biomass,Baseline,0.1887,1.0658,2.0599,0.3194,1.9881,0.4666,0.0767,0.0093,0.3967,0.0046,3.4024,0.191,16.60889378,166.3460644
3M52711,Intervention,LPG,Intervention,0.145,0.9626,1.4155,0.2272,0.3713,0.1958,0.0853,0.008,0.5391,0.0031,0.2371,0.1163,2.614959893,24.57097326
3M52712,Intervention,Biomass,Baseline,0.1246,0.5886,0.5638,0.1309,0.5663,0.2626,0.0111,0.0038,0.1046,0.0031,0.5314,0.1141,6.583459814,42.5045927
3M52721,Intervention,LPG,Intervention,0.0689,0.5209,0.1527,0.1275,0.2308,0.1227,0.0184,0.0093,0.1107,0.0031,0.2086,0.0942,2.571665855,25.31484378
3M52726,Intervention,LPG,Intervention,0.2166,0.9809,1.6696,0.2909,0.5809,0.2721,0.0731,0.0214,0.6834,0.0031,0.851,0.2259,2.588810294,23.16691764
3M52728,Control,Biomass,Control,0.0875,0.4595,0.1594,0.2644,1.4603,0.2685,0.0276,0.0575,0.1315,0.0247,4.825,0.0517,12.73667554,298.055076
3M52730,Intervention,Biomass,Baseline,0.2232,0.6494,1.0534,0.406,3.0656,0.8129,0.0111,0.0201,0.1675,0.01,4.7428,0.1132,18.20058192,281.7283452
3M52731,Control,Biomass,Control,0.0489,0.1151,0.3808,0.334,1.8712,0.3119,0.0111,0.0522,0.2131,0.0175,5.6907,0.0517,12.73667554,298.055076
3M52746,Intervention,Biomass,Baseline,0.1636,0.9438,1.2134,0.202,0.8542,0.2287,0.076,0.0068,0.3766,0.0031,1.1962,0.1262,7.406412229,133.1116115
3M52749,Intervention,LPG,Intervention,0.1236,0.7038,0.6697,0.1905,0.1569,0.122,0.0184,0.0038,0.2719,0.0031,0.0663,0.1096,0.972908539,12.01337261
3M52751,Intervention,LPG,Intervention,0.0243,0.3192,0.2696,0.0561,0.0159,0.0625,0.0111,0.0038,0.0268,0.0031,0.05,0.0517,2.584502789,20.81553332
3M52752,Intervention,LPG,Intervention,0.235,1.2791,1.598,0.2493,0.5187,0.2599,0.0714,0.0108,0.4807,0.0137,0.5588,0.231,2.580209595,24.24444869
3M52753,Control,Biomass,Baseline,0.2935,1.2599,1.667,0.3094,1.026,0.9623,0.046,0.0937,0.5227,0.0285,1.5195,0.2305,18.53106719,71.37282708
3M52754,Intervention,LPG,Intervention,0.2814,1.7682,2.7363,0.256,0.4407,0.5314,0.1351,0.0362,0.8532,0.0031,0.6045,0.2367,2.601819391,24.44750103
3M52761,Control,Biomass,Control,0.181,0.7495,0.8182,0.3576,2.6729,0.3066,0.023,0.0214,0.256,0.0031,4.9894,0.0977,14.89359744,177.0382548
3M52769,Intervention,LPG,Intervention,0.2716,1.2599,1.707,0.2736,0.366,0.2274,0.0986,0.0038,0.5464,0.021,0.7287,0.3715,4.485695139,29.39964168
3M52770,Control,Biomass,Control,0.2484,1.2923,1.8979,0.271,0.511,0.2772,0.076,0.0309,0.5062,0.0175,0.3233,0.2259,3.123519048,32.2036879
3M52771,Control,Biomass,Control,0.3707,2.1315,3.8339,0.4179,1.4,0.4007,0.1224,0.0294,1.0943,0.0031,3.1357,0.4421,13.03031624,183.1980308
3M52772,Intervention,LPG,Intervention,0.3161,1.5359,2.2697,0.3512,0.5577,0.2829,0.0365,0.0294,0.6487,0.0301,0.7597,0.3727,5.902912432,43.73346698
3M52773,Intervention,LPG,Intervention,0.3349,1.5682,2.1928,0.3589,0.6078,0.3877,0.0645,0.0161,0.6688,0.0031,1.0446,0.4129,2.614959893,26.91106595
3M52781,Intervention,LPG,Intervention,0.3768,1.7247,2.6468,0.3262,0.4613,0.3609,0.0877,0.0121,0.6998,0.0031,0.9022,0.45,2.567415168,25.27300106
3M52785,Control,Biomass,Control,0.3209,1.7616,2.8651,0.374,2.0264,0.5218,0.1114,0.0038,0.7802,0.0648,3.6544,0.2982,26.08068574,328.5408789
